id,title,body,date_created,date_original,primary_country,countries,themes,formats,sources,month
4033694,Every Breath Counts: increasing access to medical oxygen in Somalia,"29 January 2024, Mogadishu, Somalia – A project to reduce the alarmingly high number of child deaths related to pneumonia and diarrhoea in Somalia has been formally launched by King Salman Humanitarian Aid and Relief Centre (KSrelief) and WHO. The Every Breath Counts project aims to increase access to medical oxygen, set up mother and child health care, establish oral rehydration centres and provide integrated health facilities in the fragile humanitarian setting of Somalia.

Child mortality from all causes in Somalia is among the highest in the world. A child born in Somalia today is about 16.5 times more likely to die before the age of 5 years than a child elsewhere. Every Breath Counts aims to reduce pneumonia- and diarrhoea-related morbidity and mortality among children aged under 5 years in the project’s target districts.

Supervisor General of KSrelief His Excellency Abdullah Al Rabeeah launched the project along with Prime Minister of Somalia His Excellency Hamza Abdi Barre, WHO Representative in Somalia Dr Sindani Ireneaus Sebit and other high-ranking government and United Nations officials.

H.E. Mr Hamza Abdi Barre expressed profound thanks to the visiting dignitaries, to Saudi Arabia and to KSrelief for extending much-needed support to Somalia’s fragile health system: “KSrelief and WHO are helping to set up a sustainable health delivery model which will prove beneficial not only for achieving universal health coverage but also Somalia’s key elements of Essential Package of Health Services.”

The project is set to equip 28 health facilities across 10 select drought- and pneumonia-affected districts with solar-powered oxygen concentrators. The project will also provide 90 oxygen cylinders, 15 baby incubators and 4 ambulances in total to the selected health facilities. In addition, the project will help set up 15 triage centres and oral rehydration centres.

H.E. Dr Abdullah Al Rabeeah said on launching the project: “KSrelief is investing in the future of Somalia by providing self-sustainable and environment-friendly solutions and ensuring that selected health facilities can run various medical procedures especially for children and women without power interruptions.”

An estimated 230 127 children aged under 5 years and more than 3.3 million community members will benefit from the project interventions. Over 700 health workers will be trained on screening, outreach and treatment procedures in the course of the project.

Praising KSrelief for investing in saving the lives of Somalia’s children, acting Head of Mission for WHO Somalia country office, Dr Sindani Ireneaus Sebit said: “Contrary to what this situation in Somalia looks like, WHO has shown that community-based outreach programmes involving visits by community health workers to individual households for the diagnosis, treatment and care of pneumonia and diarrhoea and linking these interventions to primary-level care facilities can be a game-changer.”

Currently, the under-five mortality rate in Somalia is 117 per 1000 live births, which is higher than the sub-Saharan African average of 76 deaths per 1000 per live births. Approximately 21% of these deaths among children aged under 5 years in Somalia are attributed to pneumonia, while 18–20% of the deaths are attributed to diarrhoeal diseases alone.

**Project interventions**

The KSrelief resources will help WHO to set up cost-effective and evidence-based life-saving interventions in 10 districts of Somalia. The focus will be on strengthening community-based preventive, promotive and curative care and care for sick children with symptoms of child pneumonia and diarrhoeal disease.

The project activities will also help strengthen the capacities of primary health care/maternity and child health centres and district hospitals (referral hospitals) to deliver essential health services for pregnant women and people with disabilities. Across the 10 target districts, 28 health facilities will also be equipped to deliver both ambulatory and acute care for sick children diagnosed with pneumonia or diarrhoeal disease.

The services will be aligned within the overarching framework of the Government of Somalia’s vision for universal health coverage. This is consistent with the Government’s plan for implementing its Essential Package of Health Services (EPHS 2020) at the community and primary levels of care to achieve universal health coverage.

**Notes to editors**

The integrated Global Action Plan for the Prevention and Control of Pneumonia and Diarrhoea set a global target to reduce pneumonia-related deaths in children aged under 5 years to 3 deaths per 1000 live births. Currently, however, there are 39.5 child pneumonia deaths per 1000 live births in Somalia – which shows how far the country is from achieving the global target.

Somalia has a high burden and prevalence of risk factors for childhood pneumonia and diarrhoea, including non-exclusive breastfeeding, overcrowding in camps for internally displaced people, high rates of malnutrition and indoor air pollution, poor immunization coverage, and lack of access to quality health care for sick children at the community level. These factors will continue to contribute to a high number of deaths from these preventable causes if the situation cannot be improved.

The current humanitarian situation in Somalia – which results from protracted conflict, civil war, climatic shock and mass displacement – also contributes to poor health service delivery across the country. This has resulted in poor access to health care for vulnerable groups such as disadvantaged children.

Over 7.8 million people in Somalia are adversely affected by climatic shock – of whom more than 1.1 million have been displaced. The Government has declared the current drought situation an “acute humanitarian emergency” and appealed for emergency assistance from international partners and humanitarian agencies.

The drought situation may further aggravate the health conditions of children aged under 5 years because of children’s worsening nutrition condition and the lack of health services in affected areas. This may lead to excess morbidity and mortality from high-burden diseases such as pneumonia and diarrhoeal diseases.

**For additional information, please contact:**

Fouzia Bano, Communications Officer, WHO Somalia
Email: banof@who.int
Saeed Ahmed, External Relations /Reporting Officer, WHO Somalia
Email: saeahmed@who.int",2024-01-30T07:45:33+00:00,2024-01-29T00:00:00+00:00,Somalia,Somalia,"Contributions, Health",News and Press Release,WHO,2024-01
4033945,"Multi-Sector Needs Assessments (MSNA) 2023 - Water, Sanitation, and Hygiene (WASH) - (November 2023) Somalia","**KEY MESSAGES**

• MSNA findings suggest that the majority of assessed households faced barriers when accessing water and were water insecure despite relatively high access to improved water sources.

• More than three quarters of assessed households seemed to rely on unimproved sanitation facilities and environmental hazards were commonly reported. This could compound the vulnerability of households already dependent on poor facilities and increase vulnerability to water-borne diseases.

• A large majority of assessed households did not appear to have any dedicated hand-washing facility in their dwelling/ yard/plot, which could also increase vulnerability to waterborne diseases. However, among the small proportion of households that did, findings suggest that these households were largely using the hand-washing facility and had access to water and soap.

• A quarter of women may be facing menstrual hygiene challenges which prevented them from working, participating in the community, and/or carrying out daily tasks.",2024-01-30T18:36:33+00:00,2024-01-30T00:00:00+00:00,Somalia,Somalia,"Protection and Human Rights, Water Sanitation Hygiene",Assessment,REACH,2024-01
4036403,"Rapid Multi-sectoral Needs Assessment of populations affected by Deyr flooding - Badhaadhe District, Somalia, December 2023","**Key Highlights**

• In the surveyed sites, majority identified shelter as priority need for flood-affected men, women, and children. In addition, in-kind assistance (NFIs) and multipurpose cash transfers were as reported for women and men while children identified nutrition treatment.

• Mosquito nets was also reported as an urgent non-food item (NFI) requirement in 25 out of 25 sites.

• Local markets and borrowing/debt were reported as the primary source of food in 14 sites (out of 25 although there was a considerable number of sites 10 out of 25 sites that reported distance to the local market could last between 1-3 hours after flooding. Additionally, compared to the prices before the flooding, 20 out of the 25 sites reported significant price increases for the main food commodities, while 8 out of 25 sites reported slight increase.

• In 14 out of 25 sites, open defecation was reported as the prevailing practice for using latrines, which increases the risk of disease outbreaks such as cholera.

• Due to the damage caused by the flooding, health facilities have been adversely affected, leading to an increased demand for health services in 9 out of 25 sites. Limited medical outreach services further exacerbate the situation",2024-02-08T08:17:53+00:00,2024-02-08T00:00:00+00:00,Somalia,Somalia,"Education, Food and Nutrition, Gender, Health, Protection and Human Rights, Shelter and Non-Food Items, Water Sanitation Hygiene",Assessment,iMMAP Inc.,2024-02
4036402,"Rapid Multi-sectoral Needs Assessment of populations affected by Deyr flooding - Afmadow District, Somalia, December 2023","**Key Highlights**

• In the surveyed sites, majority identified Shelter as priority need for flood-affected men, women, and children. In addition, in-kind assistance (NFIs) and multipurpose cash transfers were as reported for women and men while children identified healthcare services and Nutrition screening.

• Mosquito net was also reported as an urgent non-food item (NFI) requirement in 57 out of 69 sites.

• Borrowing/debt was reported as the primary source of food in 46 out of 69 sites, although there was a considerable number of sites, 12 out of 69, that reported distance to the local market could be more than 6 hours after flooding.

• In 47 out of 69 sites, open defecation was reported as the prevailing practice for using latrines, which increases the risk of disease outbreaks such as Cholera.

• Due to the damage caused by the flooding, health facilities have been adversely affected, leading to an increased demand for health services in 63 out of 69 sites. Limited medical outreach services further exacerbate the situation",2024-02-08T08:16:38+00:00,2024-02-08T00:00:00+00:00,Somalia,Somalia,"Education, Food and Nutrition, Gender, Health, Protection and Human Rights, Shelter and Non-Food Items, Water Sanitation Hygiene",Assessment,iMMAP Inc.,2024-02
4033228,"Rapid Multi-sectoral Needs Assessment of populations affected by Deyr flooding - Hobyo District, Somalia, December 2023","**Key Highlights**

• In the surveyed sites, the majority identified education services as a priority need for flood-affected children, healthcare services for women and water for men. In addition, healthcare services were identified as another majority need for women, and it was healthcare services for men and children.

• Solar Lamp was also reported as an urgent non-food item (NFIs) requirement in 8 out of 11 sites.

• Borrowing/debt and humanitarian food and/or cash assistance were reported as the primary sources of food in 8 out of 11 sites although there was a considerable number of sites, 5 out of 11, that reported distance to the local market could last more than 6 hours or between 3-6 hours but not less than 1-3 hours after flooding.

• Additionally, there have been availability and intermittent shortages of food items at nearby markets, along with slightly increased price hikes for staple food commodities.

• In 6 out of 11 sites, open defecation was reported as the prevailing practice for using latrines, which increases the risk of disease outbreaks such as Cholera. In addition to Pit latrine without slab / open pit as another practice.

• Due to the damage caused by the flooding, health facilities have been adversely affected, leading to an increased demand for health services in 9 out of 11 sites. Limited medical outreach services further exacerbate the situation

**Overview**

Heavy rains in Hobyo District in October, November and December of 2023 caused significant flooding in several parts of Hobyo town and the surrounding areas, in the Southwest state of Somalia. The rains mark the beginning of the Deyr (October to December) rainy season in the country, expected to have abovenormal rains and flooding due to the influence of the El Niño conditions.  

According to SoDMA, at least 2.48 million people have been affected with 1.1 million displaced and 118 killed in the entire country. (UNESCO)  

Humanitarian partners have stepped up to meet increased needs despite logistical, access and funding challenges, reaching at least 836,000 people with assistance since October. The majority of the displaced people have moved to higher ground, closer to their settlements.",2024-01-28T13:25:47+00:00,2024-01-28T00:00:00+00:00,Somalia,Somalia,"Education, Food and Nutrition, Gender, Health, Protection and Human Rights, Shelter and Non-Food Items, Water Sanitation Hygiene",Assessment,iMMAP Inc.,2024-01
4033225,"Rapid Multi-sectoral Needs Assessment of populations affected by Deyr flooding - Kismayo District, Somalia, December 2023","**Key Highlights**

• In the surveyed sites, the majority identified shelter as a priority need for flood-affected men, women, and children. In addition, healthcare services were reported for children, women and men.

• Mosquito net was also reported as an urgent non-food item (NFI) requirement in 23 out of 25 sites.

• Borrowing/debt was reported as the primary source of food in 18 out of 25 sites although there was a considerable number of sites, 14 out of 25, that reported distance to the local market could last between 1-3 hours after flooding.

• Additionally, there have been sporadically availability of food items at nearby markets, along with slightly increased hikes for staple food commodities.

• In 12 out of 25 sites, pit latrine without slab/ open pit was reported as the prevailing practice for using latrines, which increases the risk of disease outbreaks such as Cholera.

• Due to the damage caused by the flooding, health facilities have been adversely affected, leading to an increased demand for health services in 22 out of 25 sites. Limited medical outreach services further exacerbate the situation

**Overview**

Heavy rains in the Kismayo District in October, November and December of 2023 caused significant flooding in several parts of Kismayo town and the surrounding areas, in the Lower Juba state of Somalia. The rains mark the beginning of the Deyr (October to December) rainy season in the country, expected to have above-normal rains and flooding due to the influence of the El Niño conditions.

According to SoDMA, at least 2.48 million people have been affected with 1.1 million displaced and 118 killed in the entire country. (UNOCHA) Humanitarian partners have stepped up to meet increased needs despite logistical, access and funding challenges, reaching at least 836,000 people with assistance since October. The majority of the displaced people have moved to higher ground, closer to their settlements.",2024-01-28T13:16:55+00:00,2024-01-28T00:00:00+00:00,Somalia,Somalia,"Education, Food and Nutrition, Gender, Health, Protection and Human Rights, Shelter and Non-Food Items, Water Sanitation Hygiene",Assessment,iMMAP Inc.,2024-01
4042391,Somalia: 2023 Cluster Coordination Performance Monitoring – Action Plan,,2024-02-29T12:05:52+00:00,2024-02-29T00:00:00+00:00,Somalia,Somalia,"Coordination, Shelter and Non-Food Items",Manual and Guideline,"Shelter Cluster, UNHCR",2024-02
4041116,Somalia: Refugee returnees (January 2024),"Data presented in this report relates to returnees arriving in Somalia between January 2020 and January 2024. This figure includes Voluntary Repatriation from Kenya (923) and Assisted Spontaneous Returns (ASR) from Yemen (951).  

Since December 2014, UNHCR has supported 93,721 Somali refugees to return to Somalia. Additionally, approximately 42,984 Somalis were monitored as arriving spontaneously from Yemen since March 2015.",2024-02-25T08:55:22+00:00,2024-02-25T00:00:00+00:00,Somalia,"Kenya, Somalia, World, Yemen",Protection and Human Rights,Infographic,UNHCR,2024-02
4032308,Somalia: Verified IDP sites in Mogadishu Daynille and Mogadishu Khada - November 2023,"**Assessment Overview**

A joint IDP site verification exercise was conducted in Mogadishu Dayniile and Mogadishu Khada in October and November 2023. The operation was led by Banadir Regional Authority (BRA), ACTED, DRC, IOM, IRDO, NoFYL, PMWDO, SCC, SHC, Somlife, SSW and UNHCR. 1,979 IDP sites were identified hosting 230,473 households or 1,247,669 individuals.  

This is the third IDP site verification conducted covering the whole of Mogadishu Khada and Mogadishu Dayniile districts.",2024-01-24T14:34:50+00:00,2024-01-24T00:00:00+00:00,Somalia,Somalia,"Camp Coordination and Camp Management, Protection and Human Rights, Shelter and Non-Food Items",Assessment,"CCCM Cluster, UNHCR",2024-01
4031104,Somalia Protection Cluster: Monthly Update - January 2024,"**Key figures**  
- 3.13M Beneficiaries reached  
- 5M People in Need  
- 3.2M Targeted people  
- 115 Partners  
- Funding status: 2023 Requirement : USD 211M: USD 49.9M 23.7% funded: USD 160.5M 76.3% funding gap  

**Response Overview** 
**In December, the protection cluster reached 193,703 individuals through its response. Banadir (34,488 ) received the highest number of beneficiaries followed by Baydhaba (22,235), Hargeysa (13,454) and Galkacyo districts (8,469).**

**Key Highlights**

- Protection Cluster and Areas of Responsibilities (AoRs) are providing the final inputs and review of the HNRP to be issued by January 2024. The Protection Cluster and AoRs have defined an overarching protection PiN of 3.8M and severity targeting priority districts 10 of which are categorized as Severity Level 5 and 19 as Severity level 4. These districts are primarily conflict-affected districts where the population is facing a higher level of protection risks and the Cluster has identified bigger protection response gaps. The Protection Cluster and its partners are committed to systematically prioritize these districts, aligning efforts with the four **key pillars of the response strategy: Protection of Civilians, prioritization, integrated approaches across sectors, and the operationalization of frontline protection responses**. This approach aims to avoid a isolated response, emphasizing the importance of the Protection Cluster's contribution to intersectoral coordination and ensuring the Centrality of Protection throughout the humanitarian response in Somalia.  
- The Protection Cluster is actively contributing to the development of the UN Secretary General's report on Protection of Civilians for Somalia. Additionally, the Cluster is engaging with key stakeholders in Somalia to analyze and advise UN leadership on the protection implications related to the 2024 ATMIS drawdown. This involvement underscores the Protection Cluster's commitment to addressing the evolving landscape and ensuring that the protection of civilians remains a priority during transitional phases.   
- The Protection Cluster is playing a vital role in the operationalization of the joint Food Security, CCCM (Camp Coordination and Camp Management), and Protection Cluster Fast-Track referral mechanism. With a finalized Standard Operating Procedure (SOP), the Protection Cluster is progressing towards implementation. This collaborative effort ensures swift and effective responses, emphasizing the importance of a coordinated approach in addressing the intersectionality of food security, shelter, and protection needs.  
- The Protection Cluster and AoRs are pivotal contributors to the development of the 2024 HNRP Integrated Response Framework (IRF), with a specific emphasis on newly displaced and newly accessible populations. Currently in the development stage, the Standard Operating Procedure (SOP) for the IRF is underway. This underscores the commitment of the Protection Cluster to address the evolving needs of the affected populations, ensuring a well coordinated and integrated response that is responsive to the unique challenges faced by these groups.",2024-01-19T15:30:32+00:00,2024-01-19T00:00:00+00:00,Somalia,Somalia,"Gender, Mine Action, Protection and Human Rights, Shelter and Non-Food Items",Situation Report,"Protection Cluster, UNHCR",2024-01
